DataYear,DistrictCountyNumber,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,AMI_Male,AMI_Female,ASI_Male,ASI_Female,BLK_Male,BLK_Female,HIS_Male,HIS_Female,HPI_Male,HPI_Female,MLT_Male,MLT_Female,WHT_Male,WHT_Female,TotalMale,TotalFemale,TotalMinority,TotalStudents,Entity,MinMaxGrade,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
13-14,58,Pine                                         ,0577,01,WILLOW RIVER PUBLIC SCHOOL DISTRICT,000, ,07,07E,KG,0,0,0,0,0,0,0,0,0,0,0,1,14,14,14,15,1,29,District,EC-12,, ,
13-14,58,Pine                                         ,0577,01,WILLOW RIVER PUBLIC SCHOOL DISTRICT,000, ,07,07E,01,0,0,0,0,0,0,0,0,0,0,1,0,11,12,12,12,1,24,District,EC-12,, ,
13-14,58,Pine                                         ,0577,01,WILLOW RIVER PUBLIC SCHOOL DISTRICT,000, ,07,07E,02,1,0,0,0,0,0,0,0,0,0,1,0,18,20,20,20,2,40,District,EC-12,, ,
13-14,58,Pine                                         ,0577,01,WILLOW RIVER PUBLIC SCHOOL DISTRICT,000, ,07,07E,03,0,0,0,0,0,0,0,1,0,0,0,1,16,18,16,20,2,36,District,EC-12,, ,
13-14,58,Pine                                         ,0577,01,WILLOW RIVER PUBLIC SCHOOL DISTRICT,000, ,07,07E,04,0,0,0,0,0,0,0,0,0,0,0,0,19,21,19,21,0,40,District,EC-12,, ,
13-14,58,Pine                                         ,0577,01,WILLOW RIVER PUBLIC SCHOOL DISTRICT,000, ,07,07E,05,0,0,0,0,0,0,0,0,0,0,0,0,19,16,19,16,0,35,District,EC-12,, ,
13-14,58,Pine                                         ,0577,01,WILLOW RIVER PUBLIC SCHOOL DISTRICT,000, ,07,07E,06,0,0,0,0,0,0,0,0,0,0,0,1,13,15,13,16,1,29,District,EC-12,, ,
13-14,58,Pine                                         ,0577,01,WILLOW RIVER PUBLIC SCHOOL DISTRICT,000, ,07,07E,07,0,0,0,0,0,0,0,0,0,0,1,1,24,19,25,20,2,45,District,EC-12,, ,
13-14,58,Pine                                         ,0577,01,WILLOW RIVER PUBLIC SCHOOL DISTRICT,000, ,07,07E,08,0,0,0,0,0,0,0,0,0,0,1,0,20,15,21,15,1,36,District,EC-12,, ,
13-14,58,Pine                                         ,0577,01,WILLOW RIVER PUBLIC SCHOOL DISTRICT,000, ,07,07E,09,0,0,0,0,0,0,0,2,0,0,0,0,14,13,14,15,2,29,District,EC-12,, ,
