DataYear,DistrictCouNum,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,K12Enr,FreeK12,RedK12,LEPIdentifiedK12,LEPServedK12,SPEK12,EC12Enr,Free-EC12,Red-EC12,LEPIdentifiedEC12,LEPServedEC12,SPE-EC12,SchoolLocationCountyNumber,SchoolLocationCountyName,MinMaxGrade,SchoolClassification
10-11,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11 ,07        ,196,131,12,37,37,33,196,131,12,37,37,33,  , ,EC-12,  
10-11,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11 ,08        ,193,129,17,45,45,28,193,129,17,45,45,28,  , ,EC-12,  
10-11,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11 ,09        ,218,138,17,30,30,32,218,138,17,30,30,32,  , ,EC-12,  
10-11,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11 ,10        ,236,155,17,39,39,41,236,155,17,39,39,41,  , ,EC-12,  
10-11,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11 ,11        ,236,129,23,35,35,31,236,129,23,35,35,31,  , ,EC-12,  
10-11,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11 ,12        ,272,162,21,24,24,52,272,162,21,24,24,52,  , ,EC-12,  
10-11,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11 ,All Grades,2926,1896,249,777,777,425,2991,1919,249,777,777,490,  , ,EC-12,  
10-11,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11 ,EC        ,NULL,NULL,NULL,NULL,NULL,NULL,42,NULL,NULL,NULL,NULL,42,  , ,EC-12,  
10-11,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11 ,KG        ,247,112,28,43,43,23,247,112,28,43,43,23,  , ,EC-12,  
10-11,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11 ,01        ,240,105,27,69,69,19,240,105,27,69,69,19,  , ,EC-12,  
