districtName,actCode,year,score
Forest Lake Ind Sch Dist 831,247878,2017,21.7
Fosston Ind School Dist 601,247630,2017,19.2
Frazee-Vergas Ind Sch Dist 23,247024,2017,19.6
Fridley Ind School District 14,247014,2017,19
Fulda Ind School District 505,247528,2017,22.4
Gfw Public School Dist 2365,247688,2017,19.1
Glencoe Silver Lake Isd 2859,247432,2017,20.7
Glenville-Emmons Isd 2886,247250,2017,18.7
Goodhue Ind School Dist 253,247258,2017,21.9
Goodridge Ind School Dist 561,247590,2017,18.8
Granada-Huntley-East Chain Sd,247470,2017,16.8
Grand Meadow Pub Sch Dist 495,247520,2017,19
Grand Rapids Ind Sch Dist 318,247342,2017,21.3
Greenbush-Middle River Sd 2683,247718,2017,21.1
Greenway Ind School Dist 316,247338,2017,19
Grygla Ind School District 447,247458,2017,NA
Hancock Ind Sch Dist 768,247818,2017,20.6
Hastings Ind School Dist 200,247174,2017,21.9
Hawley Ind School District 150,247138,2017,23.7
Hayfield Ind School Dist 203,247194,2017,19.9
Hendricks Ind School Dist 402,247406,2017,NA
Henning Ind School Dist 545,247578,2017,21.1
Herman-Norcross Cmty Sd 264,247278,2017,NA
Hermantown Ind School Dist 700,247740,2017,23.1
Heron Lake-Okabena Isd 330,247346,2017,18.4
Hibbing Ind School Dist 701,247742,2017,22
Hill City Ind School Dist 2,247004,2017,18.8
Hills-Beaver Creek Ind Sd 671,247708,2017,22.3
Hinckley-Finlayson Psd 2165,247600,2017,20.1
Holdingford Ind Sch Dist 738,247794,2017,19.5
Hopkins Ind School Dist 270,247288,2017,22.1
Houston Ind School Dist 294,247318,2017,20.8
Hutchinson Ind School Dist 423,247434,2017,20.9
Independent School District 15,247016,2017,20.2
Independent Sd 2687,247912,2017,20.7
International Falls Ind Sd 361,247380,2017,19
Inver Grove Heights Isd 199,247186,2017,21.4
Isle Ind School District 473,247494,2017,18.6
Jackson Co Central Sd 2895,247348,2017,22
Janesvle-Wldrf-Pmbrtn Isd 2835,247870,2017,19.6
Jordan Ind School District 717,247762,2017,21.2
Kasson-Mantorville Ind Sd 204,247196,2017,22.6
Kelliher School Dist 36,247034,2017,20.9
Kenyon-Wanamingo Sd 2172,247260,2017,20.3
Kerkhoven-Murdck-Sunbrg Sd 775,247828,2017,20.7
Kimball Ind School Dist 739,247796,2017,22.9
Kingsland Public Sch Dist 2137,247242,2017,20.7
Kittson Central Sch Dist 2171,247366,2017,23.1
La Crescent-Hokah Ind Sd 300,247320,2017,22.8
Lac Qui Parle Vly Isd 2853,247934,2017,20.6
Lake City Ind School Dist 813,247852,2017,20.2
Lake Crystal-Wellcome Mem 2071,247056,2017,20.7
Lake Of The Woods Isd 390,247394,2017,21.7
Lake Park-Audubon Isd 2889,247020,2017,18.8
Lake Superior Ind Sch Dist 381,247392,2017,20.2
Lakeview Ind School Dist 2167,247418,2017,20
Lakeville Ind School Dist 194,247176,2017,23
Lancaster Ind School Dist 356,247374,2017,NA
Lanesboro Ind School Dist 229,247232,2017,22.4
Laporte Ind School Dist 306,247328,2017,19.9
Le Center Ind School Dist 392,247398,2017,19.7
Le Sueur-Henderson Isd 2397,247400,2017,20.4
Leroy-Ostrander Ind Sd 499,247516,2017,19.5
Lester Prairie Ind Sd 424,247436,2017,19.1
Lewiston-Altura Isd 857,247898,2017,21.3
Litchfield Ind School Dist 465,247492,2017,21.8
Little Falls Ind Sch Dist 482,247502,2017,20.7
Littlefork-Big Falls Sd 362,247378,2017,19.8
Long Prairie-Grey Eagle 2753,247840,2017,21.4
Luverne Ind School Dist 2184,247710,2017,22.1
Lyle Ind School District 497,247522,2017,NA
Mabel-Canton Ind Sch Dist 238,247234,2017,19.5
Maccray Ind School Dist 2180,247114,2017,19.1
Madelia Ind School Dist 837,247888,2017,19.5
Mahnomen Ind School Dist 432,247444,2017,17.8
Mahtomedi Ind School Dist 832,247880,2017,25
Mankato Area Public Schs,247060,2017,21.5
Maple Lake Ind School Dist 881,247914,2017,22.3
Maple River School Dist 2135,247058,2017,22
Marshall Co Central Isd 441,247454,2017,19.5
Marshall Ind School Dist 413,247422,2017,21.9
Martin Co West Sch Dist 2448,247472,2017,19.8
Mcgregor Ind School Dist 4,247006,2017,22
