dat_yer,dst_num,dst_tye,dst_nam,grd,cou_num,ecu_num,ami_mal,ami_fem,api_mal,api_fem,his_mal,his_fem,blk_mal,blk_fem,wht_mal,wht_fem,tot_mal,tot_fem,tot_mny,tot_tot,eco_dev
00-01,0199,01,INVER GROVE,06,19,11,0,1,5,2,6,5,6,7,152,134,169,149,32,318,11
00-01,0199,01,INVER GROVE,07,19,11,0,0,6,3,13,10,6,3,150,123,175,139,41,314,11
00-01,0199,01,INVER GROVE,08,19,11,0,1,2,0,8,10,4,3,133,145,147,159,28,306,11
00-01,0199,01,INVER GROVE,09,19,11,0,1,6,4,9,9,6,3,176,152,197,169,38,366,11
00-01,0199,01,INVER GROVE,10,19,11,0,0,4,8,15,7,7,4,177,164,203,183,45,386,11
00-01,0199,01,INVER GROVE,11,19,11,1,0,0,2,6,5,2,4,143,144,152,155,20,307,11
00-01,0199,01,INVER GROVE,12,19,11,0,0,6,6,2,10,7,4,131,126,146,146,35,292,11
00-01,0199,01,INVER GROVE,KG,19,11,0,0,2,1,6,3,8,4,135,109,151,117,24,268,11
00-01,0199,01,INVER GROVE,PK,19,11,1,0,0,0,1,1,2,1,23,16,27,18,6,45,11
00-01,0200,01,HASTINGS,01,19,11,1,2,1,0,3,3,3,4,158,134,166,143,17,309,11
00-01,0200,01,HASTINGS,02,19,11,2,1,2,0,3,4,2,4,153,150,162,159,18,321,11
00-01,0200,01,HASTINGS,03,19,11,1,4,3,1,3,4,2,3,172,159,181,171,21,352,11
00-01,0200,01,HASTINGS,04,19,11,1,2,1,3,1,1,5,0,170,174,178,180,14,358,11
00-01,0200,01,HASTINGS,05,19,11,0,3,1,1,5,2,1,1,204,162,211,169,14,380,11
00-01,0200,01,HASTINGS,06,19,11,0,3,3,1,6,3,2,3,206,186,217,196,21,413,11
00-01,0200,01,HASTINGS,07,19,11,2,1,0,4,1,5,1,5,239,185,243,200,19,443,11
00-01,0200,01,HASTINGS,08,19,11,2,0,5,3,2,6,0,2,190,195,199,206,20,405,11
00-01,0200,01,HASTINGS,09,19,11,0,2,1,2,5,7,1,2,232,231,239,244,20,483,11
00-01,0200,01,HASTINGS,10,19,11,0,0,4,1,2,5,0,1,216,241,222,248,13,470,11
00-01,0200,01,HASTINGS,11,19,11,0,0,2,1,3,3,2,0,218,241,225,245,11,470,11
00-01,0200,01,HASTINGS,12,19,11,0,0,1,2,3,2,0,1,222,195,226,200,9,426,11
00-01,0200,01,HASTINGS,KG,19,11,1,1,0,3,1,1,2,1,145,147,149,153,10,302,11
00-01,0200,01,HASTINGS,PK,19,11,0,0,0,0,0,0,0,0,30,25,30,25,0,55,11
00-01,0203,01,HAYFIELD,01,20,10,0,0,0,0,3,1,0,0,25,42,28,43,4,71,10
00-01,0203,01,HAYFIELD,02,20,10,0,0,1,0,1,0,0,0,38,39,40,39,2,79,10
00-01,0203,01,HAYFIELD,03,20,10,0,0,3,0,0,3,0,0,31,25,34,28,6,62,10
00-01,0203,01,HAYFIELD,04,20,10,0,0,0,0,0,0,0,0,39,25,39,25,0,64,10
00-01,0203,01,HAYFIELD,05,20,10,0,0,1,0,0,0,0,0,28,29,29,29,1,58,10
00-01,0203,01,HAYFIELD,06,20,10,0,0,0,2,0,0,0,0,40,46,40,48,2,88,10
00-01,0203,01,HAYFIELD,07,20,10,0,0,0,2,0,1,0,0,30,29,30,32,3,62,10
00-01,0203,01,HAYFIELD,08,20,10,0,0,0,0,1,0,0,0,44,37,45,37,1,82,10
00-01,0203,01,HAYFIELD,09,20,10,0,0,0,1,1,0,0,0,39,35,40,36,2,76,10
00-01,0203,01,HAYFIELD,10,20,10,0,0,0,0,0,0,0,0,46,44,46,44,0,90,10
00-01,0203,01,HAYFIELD,11,20,10,0,0,0,0,0,1,0,0,35,45,35,46,1,81,10
00-01,0203,01,HAYFIELD,12,20,10,0,0,0,2,0,0,0,0,50,36,50,38,2,88,10
00-01,0203,01,HAYFIELD,KG,20,10,0,0,0,1,2,0,0,0,26,33,28,34,3,62,10
00-01,0203,01,HAYFIELD,PK,20,10,0,0,0,0,0,0,0,0,7,1,7,1,0,8,10
00-01,0204,01,KASSON-MANTORVILLE,01,20,10,0,1,0,0,1,4,2,0,68,66,71,71,8,142,10
00-01,0204,01,KASSON-MANTORVILLE,02,20,10,1,0,1,1,1,1,1,0,67,60,71,62,6,133,10
00-01,0204,01,KASSON-MANTORVILLE,03,20,10,1,0,0,1,1,2,0,0,54,82,56,85,5,141,10
00-01,0204,01,KASSON-MANTORVILLE,04,20,10,0,0,0,1,1,1,1,0,56,71,58,73,4,131,10
00-01,0204,01,KASSON-MANTORVILLE,05,20,10,0,0,1,0,3,1,0,0,83,70,87,71,5,158,10
00-01,0204,01,KASSON-MANTORVILLE,06,20,10,1,0,1,1,0,2,0,1,52,67,54,71,6,125,10
00-01,0204,01,KASSON-MANTORVILLE,07,20,10,0,0,0,1,2,0,1,0,62,58,65,59,4,124,10
00-01,0204,01,KASSON-MANTORVILLE,08,20,10,0,0,0,4,1,0,0,0,84,76,85,80,5,165,10
00-01,0204,01,KASSON-MANTORVILLE,09,20,10,0,0,2,1,2,0,1,1,58,62,63,64,7,127,10
00-01,0204,01,KASSON-MANTORVILLE,10,20,10,0,0,0,0,0,0,0,0,72,83,72,83,0,155,10
00-01,0204,01,KASSON-MANTORVILLE,11,20,10,0,0,0,0,2,1,1,1,56,52,59,54,5,113,10
00-01,0204,01,KASSON-MANTORVILLE,12,20,10,0,0,0,4,2,0,1,0,67,60,70,64,7,134,10
00-01,0204,01,KASSON-MANTORVILLE,KG,20,10,0,0,0,1,2,1,1,0,59,52,62,54,5,116,10
00-01,0204,01,KASSON-MANTORVILLE,PK,20,10,0,0,0,0,0,0,0,0,11,6,11,6,0,17,10
00-01,0206,01,ALEXANDRIA,01,21,04,1,0,1,2,2,0,0,0,119,114,123,116,6,239,04
00-01,0206,01,ALEXANDRIA,02,21,04,0,0,0,2,1,1,3,2,142,124,146,129,9,275,04
00-01,0206,01,ALEXANDRIA,03,21,04,1,0,0,0,1,0,2,1,140,115,144,116,5,260,04
00-01,0206,01,ALEXANDRIA,04,21,04,0,1,0,0,2,0,0,2,159,129,161,132,5,293,04
00-01,0206,01,ALEXANDRIA,05,21,04,1,0,1,1,0,1,0,0,154,168,156,170,4,326,04
00-01,0206,01,ALEXANDRIA,06,21,04,1,2,0,0,1,0,1,0,171,141,174,143,5,317,04
00-01,0206,01,ALEXANDRIA,07,21,04,0,1,0,1,2,0,1,0,181,160,184,162,5,346,04
00-01,0206,01,ALEXANDRIA,08,21,04,1,1,1,1,2,0,0,2,171,170,175,174,8,349,04
00-01,0206,01,ALEXANDRIA,09,21,04,0,0,1,5,0,1,2,1,177,171,180,178,10,358,04
00-01,0206,01,ALEXANDRIA,10,21,04,0,0,2,1,1,0,0,0,202,182,205,183,4,388,04
00-01,0206,01,ALEXANDRIA,11,21,04,0,0,1,3,0,1,0,1,182,171,183,176,6,359,04
00-01,0206,01,ALEXANDRIA,12,21,04,0,0,1,1,1,2,0,1,174,175,176,179,6,355,04
00-01,0206,01,ALEXANDRIA,KG,21,04,0,0,2,0,1,0,2,0,127,133,132,133,5,265,04
00-01,0206,01,ALEXANDRIA,PK,21,04,0,0,0,0,0,0,0,0,32,17,32,17,0,49,04
00-01,0207,01,BRANDON,01,21,04,0,0,0,0,0,0,1,0,11,10,12,10,1,22,04
00-01,0207,01,BRANDON,02,21,04,0,0,0,0,0,0,0,0,6,14,6,14,0,20,04
00-01,0207,01,BRANDON,03,21,04,0,0,0,0,0,0,0,0,15,10,15,10,0,25,04
00-01,0207,01,BRANDON,04,21,04,0,0,0,0,0,0,0,0,10,10,10,10,0,20,04
00-01,0207,01,BRANDON,05,21,04,0,0,0,0,0,0,0,0,11,13,11,13,0,24,04
00-01,0207,01,BRANDON,06,21,04,0,0,0,0,0,0,0,0,14,18,14,18,0,32,04
00-01,0207,01,BRANDON,07,21,04,0,0,0,0,0,0,0,0,12,14,12,14,0,26,04
00-01,0207,01,BRANDON,08,21,04,0,0,0,0,0,0,0,0,19,16,19,16,0,35,04
00-01,0207,01,BRANDON,09,21,04,0,0,0,0,0,0,0,0,18,14,18,14,0,32,04
00-01,0207,01,BRANDON,10,21,04,0,0,0,0,0,0,0,0,11,19,11,19,0,30,04
00-01,0207,01,BRANDON,11,21,04,0,0,0,0,0,0,0,0,11,7,11,7,0,18,04
00-01,0207,01,BRANDON,12,21,04,0,0,0,0,0,0,0,0,16,16,16,16,0,32,04
00-01,0207,01,BRANDON,KG,21,04,0,0,0,0,0,0,0,0,10,8,10,8,0,18,04
00-01,0207,01,BRANDON,PK,21,04,0,0,0,0,0,0,0,0,1,3,1,3,0,4,04
00-01,0208,01,EVANSVILLE,01,21,04,0,0,0,0,0,0,0,0,7,6,7,6,0,13,04
00-01,0208,01,EVANSVILLE,02,21,04,0,0,0,0,0,0,0,0,5,8,5,8,0,13,04
00-01,0208,01,EVANSVILLE,03,21,04,0,0,0,0,0,0,0,0,5,13,5,13,0,18,04
00-01,0208,01,EVANSVILLE,04,21,04,0,0,0,0,0,0,0,0,11,6,11,6,0,17,04
00-01,0208,01,EVANSVILLE,05,21,04,0,0,0,0,0,0,0,0,12,6,12,6,0,18,04
00-01,0208,01,EVANSVILLE,06,21,04,0,0,0,0,0,0,0,0,7,14,7,14,0,21,04
00-01,0208,01,EVANSVILLE,07,21,04,0,0,0,0,0,0,0,0,8,9,8,9,0,17,04
00-01,0208,01,EVANSVILLE,08,21,04,0,0,0,0,0,0,0,0,5,6,5,6,0,11,04
