DataYear,DistrictCouNum,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,K12Enr,FreeK12,RedK12,LEPIdentifiedK12,LEPServedK12,SPEK12,EC12Enr,Free-EC12,Red-EC12,LEPIdentifiedEC12,LEPServedEC12,SPE-EC12,SchoolLocationCountyNumber,SchoolLocationCountyName,MinMaxGrade,SchoolClassification
12-13,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,EC,,,,,,,80,30,2,,,80,, ,EC-12,
12-13,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,KG,271,189,27,125,125,23,271,189,27,125,125,23,, ,EC-12,
12-13,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,01,243,175,17,105,105,26,243,175,17,105,105,26,, ,EC-12,
12-13,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,02,261,196,13,90,90,18,261,196,13,90,90,18,, ,EC-12,
12-13,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,03,248,177,17,106,106,28,248,177,17,106,106,28,, ,EC-12,
12-13,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,04,228,174,23,69,69,34,228,174,23,69,69,34,, ,EC-12,
12-13,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,05,217,155,18,55,54,41,217,155,18,55,54,41,, ,EC-12,
12-13,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,06,230,169,15,54,54,43,230,169,15,54,54,43,, ,EC-12,
12-13,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,07,205,156,12,52,51,35,205,156,12,52,51,35,, ,EC-12,
12-13,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,08,203,131,22,42,42,34,203,131,22,42,42,34,, ,EC-12,
12-13,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,09,232,165,21,39,39,41,232,165,21,39,39,41,, ,EC-12,
12-13,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,10,208,149,21,29,29,33,208,149,21,29,29,33,, ,EC-12,
12-13,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,11,207,130,21,38,38,36,207,130,21,38,38,36,, ,EC-12,
12-13,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,12,210,134,16,28,28,48,210,134,16,28,28,48,, ,EC-12,
12-13,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,All Grades,2963,2100,243,832,830,440,3043,2130,245,832,830,520,, ,EC-12,
12-13,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,EC,,,,,,,47,24,,,,47,, ,EC-12,
