DataYear,DistrictCountyNumber,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,AMI_Male,AMI_Female,API_Male,API_Female,HIS_Male,HIS_Female,BLK_Male,BLK_Female,WHT_Male,WHT_Female,TotalMale,TotalFemale,TotalMinority,TotalStudents,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
08-09,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,08,5,5,1,3,26,22,33,32,45,29,110,91,127,201,, ,
08-09,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,09,1,6,5,5,30,29,33,39,48,42,117,121,148,238,, ,
08-09,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,10,5,5,7,3,32,19,39,40,54,45,137,112,150,249,, ,
08-09,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,11,6,2,2,5,15,20,49,28,42,43,114,98,127,212,, ,
08-09,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,12,2,2,8,3,15,18,32,28,55,53,112,104,108,216,, ,
08-09,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,All Grades,43,51,65,72,366,327,489,449,540,489,1503,1388,1862,2891,, ,
08-09,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,EC,0,0,1,1,5,1,6,1,10,9,22,12,15,34,, ,
08-09,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,KG,3,2,10,4,11,12,16,22,56,61,96,101,80,197,, ,
08-09,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,01,4,1,12,8,19,13,18,23,63,52,116,97,98,213,, ,
08-09,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,02,4,1,11,9,8,11,18,18,65,51,106,90,80,196,, ,
08-09,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,03,1,1,6,5,9,11,19,15,45,51,80,83,67,163,, ,
08-09,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,04,1,3,13,8,15,7,18,22,60,44,107,84,87,191,, ,
08-09,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,05,1,2,7,5,6,9,16,18,45,63,75,97,64,172,, ,
08-09,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,06,1,5,7,6,9,8,24,23,50,55,91,97,83,188,, ,
08-09,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,07,1,4,10,11,9,9,26,27,46,60,92,111,97,203,, ,
08-09,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,08,1,2,9,7,10,7,31,24,70,42,121,82,91,203,, ,
08-09,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,09,7,5,9,13,13,12,34,25,70,77,133,132,118,265,, ,
08-09,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,10,10,4,7,6,8,9,25,28,91,73,141,120,97,261,, ,
08-09,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,11,2,2,3,5,3,3,27,22,67,90,102,122,67,224,, ,
08-09,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,12,2,1,5,6,3,3,23,15,76,83,109,108,58,217,, ,
08-09,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,All Grades,38,33,110,94,128,115,301,283,814,811,1391,1336,1102,2727,, ,
08-09,02,Anoka                                        ,0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT ,000, ,11,11,EC,0,0,0,1,0,0,0,0,69,28,69,29,1,98,, ,
08-09,02,Anoka                                        ,0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT ,000, ,11,11,KG,0,4,8,8,6,1,0,0,194,170,208,183,27,391,, ,
