dat_yer,dst_num,dst_tye,dst_nam,grd,cou_num,ecu_num,ami_mal,ami_fem,api_mal,api_fem,his_mal,his_fem,blk_mal,blk_fem,wht_mal,wht_fem,tot_mal,tot_fem,tot_mny,tot_tot,eco_dev
99-00,0032,01,BLACKDUCK,KG,04,01,3,4,0,0,0,0,1,2,21,17,25,23,10,48,02
99-00,0032,01,BLACKDUCK,PK,04,01,1,1,0,0,0,0,1,0,1,3,3,4,3,7,02
99-00,0036,01,KELLIHER,01,04,01,1,2,0,0,0,0,1,0,6,9,8,11,4,19,02
99-00,0036,01,KELLIHER,02,04,01,3,2,0,0,0,0,1,0,7,8,11,10,6,21,02
99-00,0036,01,KELLIHER,03,04,01,3,0,0,0,0,0,0,0,9,6,12,6,3,18,02
99-00,0036,01,KELLIHER,04,04,01,2,5,0,0,0,0,0,0,8,5,10,10,7,20,02
99-00,0036,01,KELLIHER,05,04,01,1,5,0,0,0,0,0,0,9,7,10,12,6,22,02
99-00,0036,01,KELLIHER,06,04,01,2,3,0,0,0,0,0,0,10,9,12,12,5,24,02
99-00,0036,01,KELLIHER,07,04,01,5,2,0,0,0,0,0,0,7,12,12,14,7,26,02
99-00,0036,01,KELLIHER,08,04,01,2,3,0,0,0,0,0,0,11,8,13,11,5,24,02
99-00,0036,01,KELLIHER,09,04,01,3,2,1,0,0,0,0,1,12,14,16,17,7,33,02
99-00,0036,01,KELLIHER,10,04,01,4,5,0,0,0,0,0,0,10,13,14,18,9,32,02
99-00,0036,01,KELLIHER,11,04,01,1,0,0,0,0,0,0,1,7,7,8,8,2,16,02
99-00,0036,01,KELLIHER,12,04,01,0,1,0,0,0,0,0,0,7,11,7,12,1,19,02
99-00,0036,01,KELLIHER,KG,04,01,4,1,0,0,0,0,2,0,8,6,14,7,7,21,02
99-00,0036,01,KELLIHER,PK,04,01,0,0,0,0,0,0,0,0,1,0,1,0,0,1,02
99-00,0038,01,RED LAKE,01,04,01,58,45,0,0,0,0,0,0,0,0,58,45,103,103,02
99-00,0038,01,RED LAKE,02,04,01,53,58,0,0,0,0,0,0,0,0,53,58,111,111,02
99-00,0038,01,RED LAKE,03,04,01,59,68,0,0,0,0,0,0,2,0,61,68,127,129,02
99-00,0038,01,RED LAKE,04,04,01,46,42,0,0,0,0,0,0,0,0,46,42,88,88,02
99-00,0038,01,RED LAKE,05,04,01,50,52,0,0,0,0,0,0,1,0,51,52,102,103,02
99-00,0038,01,RED LAKE,06,04,01,55,51,0,0,0,0,0,0,0,0,55,51,106,106,02
99-00,0038,01,RED LAKE,07,04,01,61,58,0,0,0,0,0,0,0,0,61,58,119,119,02
