DistrictNumber,districtType,districtName,year,percentMinority
2903,01,ORTONVILLE PUBLIC SCHOOLS,2000,NA
0213,01,OSAKIS PUBLIC SCHOOL DISTRICT,2000,0.0151285930408472
4195,07,OSHKI OGIMAAG CHARTER SCHOOL,2000,NA
0279,01,OSSEO PUBLIC SCHOOL DISTRICT,2000,0.218664020567408
0761,01,OWATONNA PUBLIC SCHOOL DISTRICT,2000,0.0899053627760252
4008,07,PACT CHARTER SCHOOL,2000,0.0283018867924528
4104,07,PALADIN CAREER AND TECH HIGH SCHOOL,2000,NA
0309,01,PARK RAPIDS PUBLIC SCHOOL DISTRICT,2000,0.0829918032786885
0547,01,PARKERS PRAIRIE PUBLIC SCHOOL DIST.,2000,0.0155038759689922
4199,07,PARNASSUS PREPARATORY CHARTER SCH,2000,NA
4097,07,"PARTNERSHIP ACADEMY, INC.",2000,NA
0741,01,PAYNESVILLE PUBLIC SCHOOL DISTRICT,2000,0.0138248847926267
0548,01,PELICAN RAPIDS PUBLIC SCHOOL DIST.,2000,0.173431734317343
0186,01,PEQUOT LAKES PUBLIC SCHOOLS,2000,0.0271317829457364
0549,01,PERHAM-DENT PUBLIC SCHOOL DISTRICT,2000,0.0280474649406688
