countyName,countyFIPS,familySize,numberAdults,numberWorkers,numberChildren,adultAge,year,yearlyCost
Cass,021,3,1,1,2,19-50,2018,55944
Cass,021,1,1,1,0,19-50,2018,28920
Cass,021,3,2,1.5,1,19-50,2018,48324
Cass,021,5,1,1,4,19-50,2018,62820
Cass,021,2,2,1,0,51+,2018,37164
Cass,021,2,2,2,0,51+,2018,38076
Cass,021,5,2,1,3,19-50,2018,54504
Cass,021,2,2,2,0,19-50,2018,37560
Cass,021,6,2,2,4,19-50,2018,70932
Cass,021,5,2,1.5,3,19-50,2018,61116
Cass,021,4,2,1,2,19-50,2018,51624
Cass,021,6,2,1.5,4,19-50,2018,65508
Cass,021,4,1,1,3,19-50,2018,59832
Cass,021,2,1,1,1,19-50,2018,42204
Cass,021,1,1,1,0,51+,2018,29148
Cass,021,4,2,2,2,19-50,2018,63660
Cass,021,6,2,1,4,19-50,2018,58860
Chisago,025,6,2,1,4,19-50,2018,70584
Chisago,025,4,2,2,2,19-50,2018,89832
Chisago,025,5,1,1,4,19-50,2018,89544
Chisago,025,4,1,1,3,19-50,2018,86820
Chisago,025,6,2,1.5,4,19-50,2018,84120
Chisago,025,2,2,1,0,51+,2018,42480
Chisago,025,4,2,1,2,19-50,2018,63840
Chisago,025,2,2,2,0,19-50,2018,43080
Chisago,025,2,2,1.5,0,19-50,2018,43080
Chisago,025,5,2,1.5,3,19-50,2018,79824
Brown,015,6,2,1,4,19-50,2018,53268
Brown,015,2,2,2,0,19-50,2018,33816
Brown,015,4,2,1.5,2,19-50,2018,52188
Brown,015,2,2,1,0,19-50,2018,33084
Brown,015,1,1,1,0,19-50,2018,25260
Brown,015,2,2,1.5,0,51+,2018,34320
Brown,015,3,1,1,2,19-50,2018,51312
Cottonwood,033,5,1,1,4,19-50,2018,59700
Cottonwood,033,2,1,1,1,19-50,2018,37800
Cottonwood,033,6,2,1,4,19-50,2018,56028
Cottonwood,033,4,2,2,2,19-50,2018,60120
Cottonwood,033,3,2,2,1,19-50,2018,47304
Cottonwood,033,3,2,1,1,19-50,2018,39840
Cottonwood,033,2,2,2,0,19-50,2018,34272
Cottonwood,033,1,1,1,0,51+,2018,25956
Cottonwood,033,4,2,1.5,2,19-50,2018,54792
Cottonwood,033,2,2,1,0,51+,2018,34008
Cottonwood,033,2,2,1,0,19-50,2018,33528
Cottonwood,033,2,2,1.5,0,19-50,2018,34272
Cottonwood,033,3,2,1.5,1,19-50,2018,43788
Cottonwood,033,2,2,2,0,51+,2018,34776
Cottonwood,033,3,1,1,2,19-50,2018,52956
Cottonwood,033,4,1,1,3,19-50,2018,56712
Cottonwood,033,6,2,2,4,19-50,2018,67368
Cottonwood,033,5,2,1.5,3,19-50,2018,57768
Cottonwood,033,5,2,2,3,19-50,2018,63108
Cottonwood,033,1,1,1,0,19-50,2018,25716
Cottonwood,033,2,2,1.5,0,51+,2018,34776
Cottonwood,033,4,2,1,2,19-50,2018,48516
Cottonwood,033,6,2,1.5,4,19-50,2018,62112
Cottonwood,033,5,2,1,3,19-50,2018,51408
Koochiching,071,6,2,1.5,4,19-50,2018,61668
Koochiching,071,5,2,1,3,19-50,2018,50616
Koochiching,071,1,1,1,0,19-50,2018,26028
Koochiching,071,6,2,2,4,19-50,2018,67608
Koochiching,071,4,1,1,3,19-50,2018,57180
Koochiching,071,2,2,2,0,19-50,2018,34608
Koochiching,071,3,2,1.5,1,19-50,2018,43320
Koochiching,071,2,1,1,1,19-50,2018,37812
Koochiching,071,5,2,1.5,3,19-50,2018,57420
Koochiching,071,2,2,1,0,19-50,2018,33840
Dakota,037,5,2,1.5,3,19-50,2018,83580
Dakota,037,2,2,1.5,0,51+,2018,41364
Dakota,037,4,2,2,2,19-50,2018,99948
Dakota,037,3,2,1.5,1,19-50,2018,61224
Dakota,037,4,1,1,3,19-50,2018,97932
Dakota,037,3,2,2,1,19-50,2018,73284
Dakota,037,2,2,1,0,19-50,2018,39744
Hennepin,053,2,2,2,0,51+,2018,41544
Hennepin,053,3,1,1,2,19-50,2018,94668
Hennepin,053,2,2,2,0,19-50,2018,41004
Hennepin,053,5,2,1.5,3,19-50,2018,84336
Hennepin,053,3,2,1.5,1,19-50,2018,61464
Hennepin,053,3,2,1,1,19-50,2018,48684
Hennepin,053,2,2,1,0,51+,2018,40488
Hennepin,053,1,1,1,0,51+,2018,32688
Hennepin,053,5,2,2,3,19-50,2018,103752
Hennepin,053,2,2,1.5,0,19-50,2018,41004
Hennepin,053,2,2,1.5,0,51+,2018,41544
Hennepin,053,5,2,1,3,19-50,2018,64536
Hennepin,053,4,1,1,3,19-50,2018,98640
Hennepin,053,5,1,1,4,19-50,2018,101808
Hennepin,053,4,2,1,2,19-50,2018,61692
Hennepin,053,6,2,2,4,19-50,2018,108384
Hennepin,053,1,1,1,0,19-50,2018,32448
